oid,x,y,d,theta,phi,true_d,,,
0,-4551.7,-6206.9,0.012024,0.40143,-2.9496,0.0088342,,,
0,-4551.7,-5379.3,0.0098981,0.40143,-2.9496,0.0099994,,,
0,-4551.7,-4551.7,0.013341,0.40143,-2.9496,0.011078,,,
0,-4551.7,-3724.1,0.010224,0.40143,-2.9496,0.011932,,,
0,-4551.7,-2896.6,0.012616,0.40143,-2.9496,0.012416,,,
0,-4551.7,-2069,0.0057002,0.40143,-2.9496,0.012424,,,
0,-4551.7,-1241.4,0.0044411,0.40143,-2.9496,0.011935,,,
0,-4551.7,-413.79,0.0074807,0.40143,-2.9496,0.011019,,,
0,-4551.7,413.79,0.0055703,0.40143,-2.9496,0.0098182,,,
0,-4551.7,1241.4,0.007126,0.40143,-2.9496,0.0084944,,,
0,-4551.7,2069,0.0026802,0.40143,-2.9496,0.0071838,,,
0,-4551.7,2896.6,0.0078134,0.40143,-2.9496,0.0059774,,,
0,-4551.7,3724.1,0.004182,0.40143,-2.9496,0.0049209,,,
0,-4551.7,4551.7,-0.0053475,0.40143,-2.9496,0.0040265,,,
0,-4551.7,5379.3,-0.00143,0.40143,-2.9496,0.0032858,,,
0,-4551.7,6206.9,-0.0090643,0.40143,-2.9496,0.002681,,,
0,-4551.7,7034.5,-0.0042332,0.40143,-2.9496,0.0021908,,,
0,-4551.7,7862.1,-0.005539,0.40143,-2.9496,0.001795,,,
0,-4551.7,8689.7,-0.0084808,0.40143,-2.9496,0.0014757,,,
0,-4551.7,9517.2,-0.0060172,0.40143,-2.9496,0.0012176,,,
0,-4551.7,10345,0.0039955,0.40143,-2.9496,0.0010086,,,
0,-4551.7,11172,-0.0028293,0.40143,-2.9496,0.00083867,,,
0,-4551.7,12000,-0.0062695,0.40143,-2.9496,0.00069993,,,
0,-3724.1,-12000,-0.0029163,0.40143,-2.9496,0.0036491,,,
0,-3724.1,-11172,0.0011278,0.40143,-2.9496,0.0042819,,,
0,-3724.1,-10345,-0.0009719,0.40143,-2.9496,0.0050494,,,
0,-3724.1,-9517.2,-0.0098291,0.40143,-2.9496,0.0059785,,,
0,-3724.1,-8689.7,0.0028311,0.40143,-2.9496,0.0070959,,,
0,-3724.1,-7862.1,0.013408,0.40143,-2.9496,0.0084231,,,
0,-3724.1,-7034.5,0.019475,0.40143,-2.9496,0.009965,,,
0,-3724.1,-6206.9,0.023675,0.40143,-2.9496,0.011693,,,
0,-3724.1,-5379.3,0.022219,0.40143,-2.9496,0.013522,,,
0,-3724.1,-4551.7,0.017298,0.40143,-2.9496,0.015291,,,
0,-3724.1,-3724.1,0.019806,0.40143,-2.9496,0.016764,,,
0,-3724.1,-2896.6,0.024028,0.40143,-2.9496,0.017671,,,
0,-3724.1,-2069,0.015401,0.40143,-2.9496,0.0178,,,
0,-3724.1,-1241.4,0.0075361,0.40143,-2.9496,0.01709,,,
0,-3724.1,-413.79,0.0043058,0.40143,-2.9496,0.015667,,,
0,-3724.1,413.79,0.007814,0.40143,-2.9496,0.013793,,,
0,-3724.1,1241.4,0.0099468,0.40143,-2.9496,0.011754,,,
0,-3724.1,2069,-0.00081518,0.40143,-2.9496,0.0097792,,,
0,-3724.1,2896.6,0.0037931,0.40143,-2.9496,0.0080076,,,
0,-3724.1,3724.1,0.00061766,0.40143,-2.9496,0.0064959,,,
0,-3724.1,4551.7,-0.003372,0.40143,-2.9496,0.0052468,,,
0,-3724.1,5379.3,-0.0046059,0.40143,-2.9496,0.004235,,,
0,-3724.1,6206.9,-0.0015584,0.40143,-2.9496,0.0034245,,,
0,-3724.1,7034.5,-0.0067251,0.40143,-2.9496,0.0027786,,,
0,-3724.1,7862.1,-0.011407,0.40143,-2.9496,0.0022644,,,
0,-3724.1,8689.7,-0.0011287,0.40143,-2.9496,0.0018545,,,
0,-3724.1,9517.2,-0.0026077,0.40143,-2.9496,0.0015266,,,
0,-3724.1,10345,0.0039749,0.40143,-2.9496,0.0012631,,,
0,-3724.1,11172,0.0016917,0.40143,-2.9496,0.0010504,,,
0,-3724.1,12000,-0.0016535,0.40143,-2.9496,0.00087765,,,
0,-2896.6,-12000,-0.00058066,0.40143,-2.9496,0.0042373,,,
0,-2896.6,-11172,0.0058325,0.40143,-2.9496,0.0050221,,,
0,-2896.6,-10345,-0.0012456,0.40143,-2.9496,0.0059909,,,
0,-2896.6,-9517.2,-0.0012545,0.40143,-2.9496,0.0071875,,,
0,-2896.6,-8689.7,0.0055458,0.40143,-2.9496,0.0086613,,,
0,-2896.6,-7862.1,0.0056989,0.40143,-2.9496,0.01046,,,
