oid,x,y,d,theta,phi,true_d,,,,
0,-7034.5,8689.7,0.0055836,0.54105,-0.19199,0.004289,,,,
0,-7034.5,9517.2,0.0022514,0.54105,-0.19199,0.0037063,,,,
0,-7034.5,10345,-0.0044411,0.54105,-0.19199,0.0032095,,,,
0,-7034.5,11172,-0.002072,0.54105,-0.19199,0.0027863,,,,
0,-7034.5,12000,-0.0051559,0.54105,-0.19199,0.0024255,,,,
0,-6206.9,-12000,0.002602,0.54105,-0.19199,0.0065297,,,,
0,-6206.9,-11172,0.0079796,0.54105,-0.19199,0.0074926,,,,
0,-6206.9,-10345,0.017496,0.54105,-0.19199,0.0086069,,,,
0,-6206.9,-9517.2,0.016619,0.54105,-0.19199,0.0098854,,,,
0,-6206.9,-8689.7,0.021743,0.54105,-0.19199,0.011333,,,,
0,-6206.9,-7862.1,0.017457,0.54105,-0.19199,0.012939,,,,
0,-6206.9,-7034.5,0.018447,0.54105,-0.19199,0.014671,,,,
0,-6206.9,-6206.9,0.023767,0.54105,-0.19199,0.016467,,,,
0,-6206.9,-5379.3,0.026083,0.54105,-0.19199,0.018223,,,,
0,-6206.9,-4551.7,0.022482,0.54105,-0.19199,0.019802,,,,
0,-6206.9,-3724.1,0.030049,0.54105,-0.19199,0.021042,,,,
0,-6206.9,-2896.6,0.029173,0.54105,-0.19199,0.021788,,,,
0,-6206.9,-2069,0.027024,0.54105,-0.19199,0.02193,,,,
0,-6206.9,-1241.4,0.021412,0.54105,-0.19199,0.021435,,,,
0,-6206.9,-413.79,0.028083,0.54105,-0.19199,0.02036,,,,
0,-6206.9,413.79,0.023456,0.54105,-0.19199,0.018835,,,,
0,-6206.9,1241.4,0.019261,0.54105,-0.19199,0.017028,,,,
0,-6206.9,2069,0.018481,0.54105,-0.19199,0.015105,,,,
0,-6206.9,2896.6,0.010004,0.54105,-0.19199,0.013203,,,,
0,-6206.9,3724.1,0.012872,0.54105,-0.19199,0.011415,,,,
0,-6206.9,4551.7,0.0089052,0.54105,-0.19199,0.0097961,,,,
0,-6206.9,5379.3,0.002627,0.54105,-0.19199,0.0083688,,,,
0,-6206.9,6206.9,0.0029304,0.54105,-0.19199,0.0071335,,,,
0,-6206.9,7034.5,0.0025421,0.54105,-0.19199,0.0060777,,,,
0,-6206.9,7862.1,0.00061296,0.54105,-0.19199,0.0051826,,,,
0,-6206.9,8689.7,0.0014501,0.54105,-0.19199,0.0044275,,,,
0,-6206.9,9517.2,-0.00021084,0.54105,-0.19199,0.0037919,,,,
0,-6206.9,10345,-0.0074073,0.54105,-0.19199,0.0032572,,,,
0,-6206.9,11172,0.0033905,0.54105,-0.19199,0.002807,,,,
0,-6206.9,12000,0.0017639,0.54105,-0.19199,0.0024273,,,,
0,-5379.3,-12000,0.011127,0.54105,-0.19199,0.0068325,,,,
0,-5379.3,-11172,-0.00092264,0.54105,-0.19199,0.0079159,,,,
0,-5379.3,-10345,0.014467,0.54105,-0.19199,0.0091923,,,,
0,-5379.3,-9517.2,0.012666,0.54105,-0.19199,0.010686,,,,
0,-5379.3,-8689.7,0.021748,0.54105,-0.19199,0.012415,,,,
0,-5379.3,-7862.1,0.014099,0.54105,-0.19199,0.014382,,,,
